feature,bin_index,bin,count,bads,bad_rate,population_share,woe,iv,points
AMT_CREDIT,0,"(-inf, 6.75e+05]",136478,12209,0.08945764152464133,0.6340235160761323,0.10500346087546748,0.034531382968758476,38.0
AMT_CREDIT,1,"(6.75e+05, 9e+05]",33065,2546,0.07699984878270075,0.15360708362561962,-0.05840423829480193,0.034531382968758476,36.6
AMT_CREDIT,2,"(9e+05, 1.134e+06]",24187,1605,0.06635796088808038,0.11236336100568158,-0.2184983175495646,0.034531382968758476,35.3
AMT_CREDIT,3,"(1.134e+06, 1.35e+06]",10005,641,0.06406796601699151,0.046479324714178864,-0.2556303211693522,0.034531382968758476,35.0
AMT_CREDIT,4,"(1.35e+06, inf]",11522,490,0.0425273390036452,0.053526714578387695,-0.6879337441934192,0.034531382968758476,31.3
AMT_CREDIT,5,missing,0,0,0.0,0.0,2.425241717944865,0.034531382968758476,57.6
REGION_POPULATION_RELATIVE,0,"(-inf, 0.00496]",8643,870,0.10065949323151684,0.04015200434829065,0.23575552933306457,0.02991100936849965,34.9
REGION_POPULATION_RELATIVE,1,"(0.00496, 0.008866]",34403,3042,0.08842252129174781,0.1598229093595098,0.09226208242319717,0.02991100936849965,36.3
REGION_POPULATION_RELATIVE,2,"(0.008866, 0.02461]",95557,8292,0.08677543246439298,0.4439205229098241,0.07155985861931977,0.02991100936849965,36.5
REGION_POPULATION_RELATIVE,3,"(0.02461, 0.03076]",28815,2259,0.07839666840187402,0.13386324254263507,-0.03896742643261968,0.02991100936849965,37.5
REGION_POPULATION_RELATIVE,4,"(0.03076, 0.03133]",8543,661,0.07737328807210582,0.03968744338163219,-0.05272684534958922,0.02991100936849965,37.6
REGION_POPULATION_RELATIVE,5,"(0.03133, 0.03579]",12529,870,0.06943890174794477,0.05820484351263838,-0.16964525561552404,0.02991100936849965,38.7
REGION_POPULATION_RELATIVE,6,"(0.03579, 0.04622]",11484,794,0.06913967258794845,0.05335018141105748,-0.17423422711864828,0.02991100936849965,38.8
REGION_POPULATION_RELATIVE,7,"(0.04622, inf]",15283,703,0.045998822220768176,0.07099885253441235,-0.6062088594583908,0.02991100936849965,42.8
REGION_POPULATION_RELATIVE,8,missing,0,0,0.0,0.0,2.425163562514616,0.02991100936849965,14.6
NAME_FAMILY_STATUS,0,Civil marriage,20775,2091,0.10064981949458483,0.09651254082329494,0.23540287407775862,0.022152085154934092,35.3
NAME_FAMILY_STATUS,1,Married,137720,10469,0.07601655532965437,0.6397933632820303,-0.07248350960582606,0.022152085154934092,37.7
NAME_FAMILY_STATUS,2,Separated,13830,1130,0.08170643528561099,0.06424878168886494,0.006234315291932622,0.022152085154934092,37.1
NAME_FAMILY_STATUS,3,Single / not married,31687,3138,0.0990311484204879,0.14720543350506604,0.21732122128598777,0.022152085154934092,35.5
NAME_FAMILY_STATUS,4,Widow,11243,663,0.05897002579382727,0.05223058948141059,-0.34402344417821423,0.022152085154934092,39.8
NAME_FAMILY_STATUS,5,__other__,2,0,0.0,9.291219333169189e-06,0.8157777528902495,0.022152085154934092,30.9
NAME_FAMILY_STATUS,6,missing,0,0,0.0,0.0,2.42521566532435,0.022152085154934092,18.7
